LAKENAME,Year,NTL,PTL,Tot_Sdep,OmWs,AgKffactWs,Depth
Fuqua,2007,2.717670503,1.342422681,0.716763438,0.259090319,0.011502894,0.939519253
Spring Creek,2007,2.81756537,1.544068044,1.016340261,0.101481626,0.027899264,0.579783597
Long Lake,2007,3.182129214,2.06069784,0.996972398,0.817757894,0.035067977,0.908485019
Blueberry Lake,2007,2.814247596,1.230448921,0.67562077,1.013386376,1.52828E-05,0.929418926
Lake Tarpon,2007,3.029383778,1.491361694,0.885430717,0.655890509,0.002766247,0.579783597
Sip Pond,2007,2.389166084,1.176091259,1.011454438,0.877946952,0.002285157,0.301029996
South Lake,2007,4.19384782,3.07371835,0.733847141,0.718501689,0.05437459,0.021189299
Elm Creek Lake,2007,2.938019097,1.792391689,0.821794778,0.253720337,0.071961673,0.612783857
Forsyth Reservoir,2007,2.549003262,1.531478917,0.440603577,0.382162971,0,0.919078092
Tallman Lake,2007,2.892651034,0.954242509,0.873275529,0.619129879,0.005816313,0.531478917
Ramer Lake,2007,3.346157302,1.763427994,0.158449641,0.096910013,0.000937064,0.447158031
Pebble Lake,2007,3.001300933,1.301029996,0.605069918,0.555120566,0.030175702,1.133538908
Lake Lakengren,2007,2.844477176,1.748188027,1.257503863,0.187681469,0.093199899,0.819543936
Blackfish Lake,2007,2.92890769,2.318063335,0.75238058,0.115533583,0.11173787,0.342422681
Silver,2007,2.250420002,0.84509804,0.864318516,0.243038049,0,1.278753601
,2007,3.714497409,2.322219295,0.426489576,0.335851141,0.067987692,0.267171728
Frederick Lake,2007,2.858537198,1.792391689,0.643675653,0.358578863,0.017266357,0.633468456
June Lake,2007,2.711807229,0.84509804,0.336016814,0.387811267,0,1.602059991
Wapogasset Lake,2007,2.958085849,1.838849091,0.704664673,0.57224031,0.050543153,0.954242509
Heritage Park Lake,2007,3.021189299,2.004321374,0.827176582,0.363514285,0.03934153,0.301029996
Lake Naomi,2007,2.45484486,1,1.298871994,0.304576901,0.000525025,0.397940009
Middle Wheeling Creek,2007,2.940516485,1.892094603,1.428334761,0.177441705,0.049544216,0.612783857
Upper Hatch,2007,2.824125834,1.230448921,0.644406641,0.924279286,0,0.792391689
Lake Natahala,2007,1.69019608,0.301029996,0.984039643,0.26037204,0.000248085,1.643452676
Gorge,2007,1.857332496,0.602059991,0.381707705,0.471431336,0,0.301029996
,2007,3.29136885,2.651278014,0.589362077,0.241537894,0.08405359,0.278753601
MD Borah Lake,2007,3.09725731,1.977723605,1.154217728,0.187520721,0.128891507,0.826074803
French Meadows Reservoir,2007,1.612783857,0.602059991,0.270719041,0.590509488,0,1.255272505
Lewis Smith Reservoir,2007,2.380211242,0.301029996,1.045382476,0.216595274,0.018108147,1.69019608
Turkey Creek Site 6 Reservoir,2007,3.13225969,2.100370545,0.615279532,0.169384125,0.0552184,0.414973348
Mahaffey Lake,2007,2.58546073,1.176091259,0.945859255,0.10720997,0.023942262,0.568201724
Lake Hogue,2007,3.227372442,2.212187604,0.77568329,0.232571941,0.004471743,0.591064607
Lake Sammamish,2007,2.31386722,0.698970004,0.3852934,0.439116676,0.001583453,1.432167269
Allen Lake,2007,3.127428778,1.633468456,0.606487013,0.778667188,0.029955383,0.146128036
Monroe Lake,2007,1.949390007,0.954242509,1.206466476,0.220509762,0.012189909,1.120573931
Nest Lake,2007,3.165541077,1.924279286,0.646490592,0.53208775,0.047897543,0.991226076
Cedar Creek Lake,2007,3.136086097,2.792391689,0.743574687,0.216378219,0.11391633,0.041392685
Lake Orange,2007,2.706717782,0.84509804,0.885496942,0.159703548,0.052542027,0.698970004
Skinner Lake,2007,3.261738547,1.568201724,1.119564345,1.014751996,0.096294196,0.991226076
East Twin Lake,2007,4.354377388,2.941014244,0.500845077,0.173186268,0.00012011,0.079181246
Jolly Pond,2007,2.774516966,1.591064607,1.020895845,0.140036984,0.004772681,0.322219295
Tioga Dam,2007,3.302979937,2.06069784,0.616906977,0.316834429,0.084821686,0.544068044
Swan Lake,2007,2.755874856,1.662757832,1.034598852,0.10720997,0.014116766,0.544068044
Lake Hanna,2007,2.45331834,1.176091259,0.979592089,0.178976947,0.028283951,0.934498451
Nilan Reservoir,2007,2.117271296,0.698970004,0.248685828,0.181843588,0,1.214843848
Voydatch Pond,2007,2.517195898,0.954242509,0.892588741,0.259913156,0,0.462397998
Holbrook Reservoir,2007,2.611723308,1.414973348,0.380933018,0.129221084,0.004297133,0.658011397
Long Lake,2007,2.342422681,0.698970004,0.921295358,0.702409808,6.63012E-06,1.017033339
Pine Lake,2007,2.767155866,1.176091259,0.934115876,0.552472156,0.024567939,0.832508913
Tippecanoe Lake,2007,2.797267541,0.954242509,1.10313389,1.143265052,0.077381063,1.51851394
Dacey Reservoir Lower,2007,2.831869774,1.380211242,0.170872067,0.181574231,0.000550615,0.361727836
Nickajack Lake,2007,2.584331224,1.568201724,0.976415102,0.216430453,0.023187123,1.217483944
Nelson Reservoir,2007,2.598790507,1.176091259,0.362881871,0.204872355,0.00546235,1.008600172
Oneida Narrows,2007,2.889301703,1.908485019,0.411024087,0.26881452,0.014336775,0.602059991
Pachaug Pond,2007,2.478566496,1.322219295,1.019906381,0.711862298,0.007230192,0.477121255
Lake Oahe,2007,2.309630167,0.903089987,0.436921168,0.251634451,0.023598779,1.315970345
Lake Kemp,2007,2.640481437,1.204119983,0.525824461,0.258176876,0.012739143,1.093421685
Lake Curry,2007,2.51851394,1.079181246,0.296506032,0.19247963,0,0.977723605
Wall Lake,2007,3.211120541,2.307496038,0.640383131,0.235528447,0.091020189,0.653212514
HZ Smith Lake,2007,2.986323777,2.10720997,0.788213071,0.117271296,0.02778556,0.255272505
Twin Lakes,2007,3.449786847,2.245512668,0.520662573,0.273423626,0.08403819,0.602059991
Koocanusa Reservoir,2007,1.903089987,0.301029996,0.311382864,0.190981045,0.001177494,1.688419822
,2007,3.501470072,2.788168371,0.562757536,0.333800715,0.068078472,0.230448921
Heron Reservoir,2007,2.136720567,0.954242509,0.377471267,0.199025735,0.001005297,1.681241237
Okemah Lake,2007,2.667452953,1.322219295,0.809345546,0.218720309,0.031356706,0.892094603
Lucys Pond,2007,2.933487288,2,1.222044871,0.376539699,0.100992149,0.301029996
Mud Lake,2007,3.489255168,2.521138084,0.61092545,0.348354175,0.032842651,0.431363764
McReynolds Reservoir,2007,2.40654018,0.903089987,0.563394277,0.146128036,0,1.136720567
Lake Walcott,2007,2.655138435,2.071882007,0.362451777,0.268544139,0.026308968,0.908485019
North Eagle,2007,3.662852233,2.380211242,0.709449256,0.482873584,0.059176603,0.414973348
McElvaney Lake,2007,3.089905111,1.913813852,0.913227502,0.193124598,0.018940271,0.397940009
Lake Fisher,2007,2.806179974,1.653212514,0.905190026,0.151230044,0.016754472,0.62324929
Lake Demopolis,2007,2.582063363,1.531478917,0.931485721,0.202672798,0.025315895,1.257678575
,2007,2.937517892,1.903089987,0.742293513,0.292301267,0.037706703,0.113943352
Records Pond,2007,3.625621081,2.1430148,1.115018402,0.301862725,0.038657302,0.230448921
Silver Lake,2007,2.617000341,0.77815125,0.660274507,0.996511672,0,1.250420002
Junipers Reservoir,2007,2.437750563,2.252853031,0.168600122,0.450352995,0.00632491,0.371067862
Green Lake,2007,2.743509765,1.146128036,0.810644216,0.684909072,0.075694722,1.69019608
Lake Kenosia,2007,2.880813592,1.491361694,1.093416428,0.679886721,0.005242556,0.740362689
Derby Lake,2007,2.536558443,0.301029996,0.835901064,0.63607176,0.041157265,0.707570176
Long Lake,2007,3.306853749,2.385606274,0.612461832,0.499547174,0.039690788,0.662757832
Boatwright Farm Pond,2007,2.769377326,1.505149978,0.854506978,0.100370545,0.02160959,0.431363764
Round Lake,2007,2.961895474,1.278753601,1.115282085,1.019779159,0.045246626,1.283301229
,2007,3.841046465,3.272305844,0.587525979,0.334453751,0.080504271,0.397940009
Holiday Lake,2007,3.182984967,1.903089987,1.225846914,0.14603667,0.079588963,0.643452676
Moon Reservoir,2007,3.183554534,2.434568904,0.159947525,0.384093555,0.006754244,0.176091259
,2007,2.551449998,1.556302501,0.794592111,0.298853076,0.06686374,0.544068044
City Lake,2007,2.447158031,1.397940009,0.843059454,0.1430148,0.002648992,0.301029996
Lost Lake,2007,2.928395852,1.643452676,0.728283785,1.145834219,0.005246121,0.716003344
Coneross Creek Reservoir,2007,2.401400541,1.230448921,0.867189861,0.14204475,0.01244504,0.477121255
Lake Bonaventure,2007,2.396199347,1.342422681,1.0566728,0.190005747,0.012264089,0.740362689
Lawne Lake,2007,2.911157609,1.707570176,0.845488934,0.132553344,0,0.51851394
Groton Reservoir,2007,2.354108439,0.77815125,1.046627197,0.575614679,0.002282117,0.806179974
Thornburg Lake,2007,2.450249108,1.146128036,0.776275096,0.12585262,0.066528585,0.113943352
Cross Lake,2007,3.039017322,1.919078092,0.848632027,0.220050357,0.008338546,0.574031268
Lake Besser,2007,2.462397998,1.146128036,0.843105817,0.788468828,0.009188553,0.698970004
Tenkiller Ferry Lake,2007,2.416640507,1.079181246,0.753102849,0.215991204,0.065329697,1.451786436
Round Valley Reservoir,2007,2.451786436,1.204119983,1.199381105,0.23448847,0.005432176,0.959041392
Buffalo Lodge Lake,2007,3.263636069,2.155336037,0.623225775,0.299652734,0.073119345,0.491361694
,2007,3.220108088,2.57634135,0.620016685,0.228410327,0.021172171,0.892094603
Nichols Reservoir,2007,2.523746467,1.380211242,0.452049954,0.060639623,0,1.146128036
Oneida Lake,2007,2.523746467,1.380211242,1.124711772,0.67240976,0.031338562,1.06069784
Lake Alice,2007,3.416141031,2.071882007,0.626530317,0.330427159,0.020413297,0.414973348
Branched Oak Lake,2007,2.92890769,1.73239376,0.738931045,0.413560937,0.042559481,0.913813852
Lake Lanier,2007,2.709269961,1.361727836,1.00378503,0.144984205,0,0.72427587
Price Lake,2007,2.95568775,1.278753601,0.677786431,1.263274904,0.00012986,0.880813592
Haynes Reservoir,2007,2.276461804,0.77815125,0.991468098,0.252853031,0,0.462397998
Lake Number Twelve,2007,3.462098381,2.225309282,0.296474887,0.118914504,0.011421603,0.380211242
Buckley-Dunton,2007,2.442479769,1.176091259,1.11693417,0.496480256,0,0.51851394
Little Greenough Pond,2007,2.322219295,0.903089987,0.824389974,0.331798187,0,0.380211242
Big Stone Lake,2007,3.112939976,2.283301229,0.627393855,0.394756015,0.071877822,0.591064607
Lake Wylie,2007,2.235528447,1.301029996,0.867775289,0.182704239,0.020048576,0.973127854
Palmer Lake,2007,2.754348336,1.278753601,1.094370998,0.830271472,0.0570658,1.113943352
Straight Lake,2007,2.779596491,1.176091259,0.615039413,0.730197558,0.031490395,1.255272505
La Due Reservoir,2007,3.33405144,1.740362689,1.361430747,0.410445776,0.048950556,0.806179974
Caspian Lake,2007,2.214843848,0.301029996,0.865400177,0.476652552,0.016598791,1.639486489
Brush Hollow Reservoir,2007,2.361727836,1.230448921,0.500369587,0.150804656,0.00129976,1.136720567
Lake Arrowhead,2007,2.021189299,0.301029996,0.306696248,0.271802991,0,1.667452953
Sunbury WS #5,2007,2.92992956,1.672097858,1.302807494,0.281033367,0,0.322219295
Willow Creek Reservoir,2007,2.350248018,1,0.275539017,0.216646659,0.004213459,1.201397124
Willow Lake,2007,3.632659713,1.838849091,0.620802875,0.336256664,0.037428962,0.176091259
Green Lake,2007,3.263636069,1.716003344,0.33511665,0.221628685,0.001952169,0.342422681
Lake Altoona,2007,2.677606953,1,1.626705307,0.206775617,0.002395985,1.10720997
Tulloch Reservoir,2007,2.008600172,0.954242509,0.292233825,0.39516937,6.96621E-05,1.62838893
Lay Reservoir,2007,2.365487985,1.146128036,1.010100317,0.158623749,0.019937394,1.100370545
Hi-Land Lake,2007,2.768638101,1.146128036,1.078641182,1.397674756,0.027355832,0.544068044
Long Lake,2007,2.447158031,1.041392685,0.729721311,0.839674644,0.02052116,1.698970004
Powers Pond,2007,3.35945602,2.247973266,0.427589563,0.508219991,0,0.342422681
Cass Lake,2007,2.686636269,1.322219295,0.582323487,0.947095121,0.007700104,1.532754379
Lake Stanmore,2007,2.661812686,1.230448921,1.188043393,0.487138375,0.012032573,0.602059991
,2007,3.458335626,2.882524538,0.577799607,0.378397901,0.044375021,0.544068044
Mountian Lake,2007,2.432969291,1.204119983,0.721111651,0.442479769,2.95196E-06,0.991226076
Rainey Pond,2007,2.764922985,2.029383778,0.923167847,0.219214537,0.033965695,0.477121255
,2007,3.112939976,1.612783857,0.6517318,1.069668097,0,0
Grassy Pond,2007,2.472756449,0.954242509,1.013535201,0.840799038,0.002005822,0.414973348
Loughberry Lake,2007,2.730782276,1,0.971672879,0.15284208,0.004776195,0.763427994
Koosharem Reservoir,2007,3.156549151,2.371067862,0.453085251,0.423871204,0.001014421,0.505149978
Eight Point Lake,2007,2.759667845,0.77815125,0.886383197,0.657720109,0.010711925,0.886490725
Arkabutla Lake,2007,2.809559715,2.340444115,0.733077836,0.097269623,0.071354981,0.740362689
Lake Champlain,2007,2.626340367,0.903089987,0.862468138,0.53721118,0.020901254,1.986771734
Chequamegon Flowage,2007,3.261262869,1.897627091,0.711807981,1.182274551,0.001246427,0.716003344
Lake Catherine,2007,2.600972896,1.477121255,0.776760737,0.167015432,0.013970011,0.913813852
,2007,4.283323848,3.024074987,0.550922906,0.380758622,0.033776514,-0.045757491
Perry Lake,2007,2.931457871,2.26245109,0.793414486,0.335971819,0.066453377,0.954242509
,2007,3.816903839,2.586587305,0.70767575,0.420964965,0.068062356,0.342422681
Enid View Drive Lake,2007,2.584331224,1.633468456,0.731318611,0.089905111,0.003739911,0
Belmont Lake,2007,2.527629901,1.204119983,1.469940945,0.149219113,0.064067438,0.924279286
Jump-off Joe Lake,2007,2.607455023,1.230448921,0.209322266,0.215448961,0.000975372,0.763427994
Lake Minneola,2007,3.024074987,1.69019608,0.802052128,1.024081289,0.010069314,0.591064607
Norton Reservoir,2007,2.565847819,1.230448921,0.999573466,0.281254651,0.002080082,0.342422681
Lavon Lake,2007,2.833784375,1.477121255,0.777913833,0.417892932,0.038478609,1.103803721
Reed Bingham Lake,2007,2.976808337,1.602059991,0.759506906,0.209504245,0.02692495,0.568201724
Lake George,2007,2.303196057,0.954242509,1.018319781,0.204278381,0.031669481,0.982271233
Loon Lake,2007,2.290034611,0.602059991,0.670249112,1.11058971,0,1.113943352
Belleville Lake,2007,3.013679697,1.919078092,1.061296475,1.053227541,0.024414166,0.763427994
Swan Lake,2007,2.897077003,1.204119983,0.838653847,1.072849642,0.071325621,1.389166084
Eagle Lake,2007,2.255272505,0.954242509,0.410890723,0.243542737,0,1.1430148
Starlight Lake,2007,2.283301229,1.079181246,1.155714284,0.452976409,0.038713186,1.06069784
Mirror Lake,2007,2.28780173,0.954242509,0.805185728,0.204962607,0.003743713,1.056904851
Enemy Swim Lake,2007,2.924279286,1.397940009,0.619260634,0.268679758,0.015162268,0.880813592
Coalgate Reservoir,2007,2.905256049,1.897627091,0.747242245,0.216902013,0.034420703,0.903089987
Tuckertown Reservoir,2007,2.854306042,1.748188027,0.912336301,0.160428802,0.029041886,1.184691431
Anderson Lake,2007,2.503790683,1.176091259,1.200475103,0.211466692,0,0.740362689
Lake Timberline,2007,2.290034611,0.602059991,0.95950263,0.161368002,0.001996177,1.197280558
Amistad Reservoir,2007,2.664641976,0.698970004,0.416244284,0.247422207,0.001940763,1.619093331
Barrs Chapel Lake,2007,3.181843588,2.281033367,0.963324235,0.09003777,0.08822315,0.079181246
Bee Creek Lake,2007,3.029789471,2.212187604,0.79043316,0.241507053,0.083386753,0.556302501
Bald Run Reservoir,2007,3.105850674,2.033423755,0.973388688,0.144594067,0.083596941,0.397940009
Mud Lake,2007,2.823474229,1.230448921,1.088071567,1.017711736,0.054907117,0.113943352
Manassas,2007,2.549003262,1.204119983,1.039204158,0.191217117,0.043259554,1.178976947
Pine Mountian Lake,2007,2.604226053,0.698970004,0.607284409,0.648774063,0.003323095,1.371067862
Morrow Point Reservoir,2007,2.136720567,1.079181246,0.325671808,0.243995865,0.002198262,1.648360011
,2007,3.640779477,2.7930916,0.380188986,0.219338776,0.060843666,0.278753601
Lamont Reservoir,2007,2.195899652,1.255272505,0.335572422,0.29526494,0.010410762,0.982271233
Roseland Lake,2007,2.914343157,1.653212514,0.966844653,0.613292688,0.01919018,0.740362689
Gillam Lake,2007,2.426511261,1.342422681,0.815145794,0.172367898,0.007647412,1.342422681
Alpine Lake,2007,2.26245109,0.84509804,0.469865299,0.392828207,0,1.212187604
Squaw Lake,2007,2.812244697,0.77815125,1.04711008,1.067291095,0.027149372,1.029383778
Rehfeldt Slough,2007,3.772101569,2.63447727,0.628372935,0.235528447,0.079598064,0.301029996
Grittman Lake,2007,2.87909588,2.45331834,0.679958265,0.056179243,0.102229794,-0.301029996
Beaver Run Reservoir,2007,2.914871818,0.698970004,1.476199111,0.187375537,0.031582209,1.127104798
Cavanaugh Lake,2007,3.464936429,2.220108088,0.491832283,0.295769678,0.076844095,0.612783857
Silver Jack Reservoir,2007,2.053078443,1.146128036,0.463606133,0.193364174,0,1.204119983
South Loon Lake,2007,3.388811413,1.792391689,0.55942959,0.149219113,0.024092401,0.477121255
Raystown Lake,2007,3.004321374,0.903089987,1.388927497,0.223582619,0.029167513,1.447158031
Minnow Lake,2007,3.697665163,2.526339277,0.560353093,0.204290671,0.016987187,0.568201724
Brant Lake,2007,3.240299582,2.064457989,0.603375333,0.28318296,0.084977564,0.612783857
Becoosin Lake,2007,2.814247596,1.255272505,0.584954403,0.822168079,0,0.740362689
Johnson Lake,2007,2.911157609,1.819543936,0.574852119,0.205948523,0.018790023,1.029383778
Moses Lake,2007,2.706717782,1.633468456,0.138642389,0.253471552,0.012149002,0.929418926
,2007,3.431041945,1.763427994,0.580017505,0.266560295,0.058503373,0.255272505
Cuba Lake,2007,2.252853031,0.84509804,1.302272821,0.498853645,0.031324639,0.838849091
Glade Creek Reservoir (Lower),2007,2.409933123,1.079181246,1.249862055,0.221491978,0.051888477,0.875061263
Elk City Lake,2007,3.352375495,2.372912003,0.575751599,0.167317335,0.081752692,0.301029996
Buckskin Lake,2007,3.115277591,1.204119983,0.678081689,1.147772438,0,0.113943352
Grist Millpond,2007,3.604550033,2.260071388,0.933653333,0.248128463,0.005588623,0.447158031
Arrowhead Lake,2007,2.716003344,1.041392685,0.784221618,0.920150207,0.024453824,0.755874856
Armington Lake,2007,2.371067862,0.301029996,0.858759353,0.4377023,0,0.897627091
Cokato Lake,2007,3.134177108,1.740362689,0.693991061,0.854255464,0.080275631,1.130333768
Little Otter,2007,2.762678564,0.954242509,1.118508751,0.878580681,0.009365471,1.029383778
North Mayfield,2007,3.062581984,1.255272505,0.613053507,0.53167693,0.017710147,0.568201724
Lake Meredith,2007,2.726727209,1.447158031,0.382630076,0.1573926,0.004764894,1.139879086
Payette Lake,2007,1.939519253,0.77815125,0.374631977,0.345533307,1.61783E-05,1.720159303
Flat River Reservoir,2007,2.525044807,1,1.030942173,0.579242414,0.002956398,0.942008053
Santa Cruz Lake,2007,2.338456494,1.176091259,0.408273975,0.05976023,7.7914E-05,1.285557309
Vasona Reservoir,2007,2.848189117,1.913813852,0.331520355,0.253446588,3.04231E-05,0.591064607
Willow Creek Reservoir,2007,3.340245762,2.715167358,0.297852765,0.050479381,0,0
Cooney Reservoir,2007,2.478566496,1.113943352,0.397168099,0.268433656,0.010959558,1.29666519
Alkaline Lake,2007,3.43055877,2.361727836,0.551718355,0.298482927,0.031512752,0.146128036
